 '.\generated(1000,6000).gr' ;18,4934;13,0662;15,273;16,4076;15,2699;15,6908;14,718;14,4323;15,8689;15,7501;;;;;;
 '.\generated(5000,30000).gr' ;33,0793;29,737;29,9899;29,5905;30,0308;29,8998;31,6815;29,3181;29,9827;30,8234;;;;;;
 '.\generated(10000,60000).gr' ;33,4428;29,4574;30,6718;32,7895;30,7333;33,6404;32,2386;34,0582;32,1946;31,8976;;;;;;
 '.\generated(5000,30000).gr' ;29,055;25,9062;26,7837;26,54;26,1386;28,3996;27,7217;28,8993;26,0004;26,0403;;;;;;
 '.\generated(100000,600000).gr';77,6673;72,5207;78,4865;77,184;72,4285;74,1724;73,941;73,9174;79,8853;77,3755;;;;;;
 '.\generated(500000,3000000).gr' ;251,586;254,064;253,534;259,592;252,614;256,189;259,579;255,982;253,448;253,691;;;;;;
 '.\generated(1000000,6000000).gr' ;480,517;473,447;461,321;472,521;472,311;477,528;477,048;469,338;482,283;462,929;;;;;;
 '.\generated(2000000,12000000).gr' ;943,621;958,143;945,399;940,412;950,707;932,494;927,086;934,523;943,315;936,781;;;;;;
 ..\MST\USA-road-d.1NY.gr\USA-road-d.NY.gr ;57,9021;57,7526;54,2689;54,1092;53,5081;55,7271;52,3417;56,2872;52,5076;56,6313;;;;;;
 ..\MST\USA-road-d.2BAY.gr\USA-road-d.BAY.gr ;63,4624;58,8462;64,0461;61,7892;64,3174;60,8317;60,3146;66,516;62,4538;61,2403;;;;;;
 ..\MST\USA-road-d.3COL.gr\USA-road-d.COL.gr ;67,6393;64,725;64,0266;64,9871;69,7948;67,9199;69,1077;68,4114;67,3167;67,2788;;;;;;
 ..\MST\USA-road-d.4FLA.gr ;99,3925;100,61;96,8684;98,5569;100,993;100,855;99,9096;100,656;99,8523;104,664;;;;;;
 ..\MST\USA-road-d.5NW.gr ;109,361;110,864;104,333;107,311;111,907;109,783;109,539;109,079;103,798;110,553;;;;;;
 ..\MST\USA-road-d.6NE.gr\USA-road-d.NE.gr ;123,447;120,651;119,875;122,761;122,36;131,329;127,791;123,329;123,545;121,291;;;;;;
 ..\MST\USA-road-d.7CAL.gr\USA-road-d.CAL.gr ;133,105;134,491;134,714;130,586;131,883;138,145;131,531;132,742;129,849;133,964;;;;;;
 ..\MST\USA-road-d.8LKS.gr\USA-road-d.LKS.gr ;185,078;172,195;187,95;185,983;182,991;181,496;178,16;190,475;180,825;186,523;;;;;;
 ..\MST\USA-road-d.9E.gr\USA-road-d.E.gr ;202,25;214,344;214,326;227,948;217,689;221,335;221,158;219,375;210,004;211,419;;;;;;
